"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Exploitation of Security Vulnerability on Retirement","K. Xu; M. Tang; Q. Wang; H. Wang","Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China; Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China; Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China; Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","1","14","The backend of the processor executes the μops decoded from the frontend out of order, while the retirement is responsible for retiring completed μops in the Reorder Buffer in order. Consequently, the retirement may stall differently depending on the execution time of the first instruction in the Reorder Buffer. Moreover, since retirement is shared between two logical cores on the same physical core, an attacker can deduce the instructions executed on the other logical core by observing the availability of its own retirement. Based on this finding, we introduce two novel covert channels: the Different Instructions covert channel and the Same Instructions covert channel, which can transmit information across logical cores and possess the ability to bypass the existing protection strategies. Furthermore, this paper explores additional applications of retirement. On the one hand, we propose a new variant of Spectre v1 by applying the retirement to the Spectre attack using the principle that the fallback penalty of misprediction is related to the instructions speculated to be executed. On the other hand, based on the principle that different programs result in varied usage patterns of retirement, we propose an attack method that leverages the retirement to infer the program run by the victim. Finally, we discuss possible mitigations against new covert channels.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476429","","Out of order;Bandwidth;Computer architecture;Security;Retirement","","2","","44","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"GADGETSPINNER: A New Transient Execution Primitive Using the Loop Stream Detector","Y. Chen; A. Hajiabadi; T. E. Carlson","School of Computing, National University of Singapore; School of Computing, National University of Singapore; School of Computing, National University of Singapore",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","15","30","Transient execution attacks constitute a major class of attacks affecting all modern out-of-order CPUs. These attacks exploit transient execution windows (i.e., the instructions that execute but never commit) to leak confidential information from victims. Existing attacks either rely on branch mispredictions, incorrect memory speculation, or deferred exception handling to create transient windows. In this work, we introduce a new transient execution primitive, called GADGETSPINNER. We exploit the Loop Stream Detector (LSD) in Intel processors to perform out-of-loop-bounds execution and perform illegal operations. Our key observation is that the LSD holds on to an old copy of branch predictions from the first iteration of the loop and keeps using this copy until a branch misprediction occurs, i.e., advances beyond the loop bound. We exploit the delay between the speculative iteration of the loop and when the branch misprediction is resolved. In this paper, we analyze the transient execution of the LSD and perform end-to-end attacks to (1) perform illegal reads from protected memory regions, (2) bypass Intel SGX and extract the weights of a trained CNN model in DNNL library, (3) break Kernel ASLR (KASLR), and finally (4) perform cross-core/cross-process attacks. We also show that many defenses for prior transient execution attacks, like secure Branch Prediction Unit (BPU) designs, fail to protect against GADGETSPINNER.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476459","Side-Channel Attacks;Loop Stream Detector;Intel CPUs;Transient Attacks","Out of order;Program processors;Detectors;Computer architecture;Programming;Libraries;Delays","","1","","72","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"Uncovering and Exploiting AMD Speculative Memory Access Predictors for Fun and Profit","C. Liu; D. Wang; Y. Lyu; P. Qiu; Y. Jin; Z. Lu; Y. Zhang; G. Qu",Tsinghua University; Tsinghua University; Tsinghua University; Beijing University of Posts and Telecommunications; Beijing University of Posts and Telecommunications; Beijing University of Posts and Telecommunications; Southern University of Science and Technology; University of Maryland,2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","31","45","This paper presents a comprehensive investigation into the security vulnerabilities associated with speculative memory access on AMD processors. Firstly, employing novel reverse engineering techniques, our study uncovers two key predictors, namely the Predictive Store Forwarding Predictor (PSFP) and the Speculative Store Bypass Predictor (SSBP), along with elucidating their internal structures and state machine designs. Secondly, our research empirically confirms that these predictors can be deliberately manipulated and altered during transient execution, resulting in secret leakage across security domains. Leveraging these discoveries, we propose innovative attacks targeting these predictors, including an out-of-place variant of Spectre-STL and an entirely new form of Spectre attack named Spectre-CTL. Finally, we establish experimentally that enabling Speculative Store Bypass Disable alleviates the vulnerabilities. However, this comes at the expense of significant performance degradation.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00014","National Key Research and Development Program of China(grant numbers:2021YFB3100902); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476467","","Degradation;Program processors;Reverse engineering;Organizations;Computer architecture;Security;Transient analysis","","3","","52","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"E2EMap: End-to-End Reinforcement Learning for CGRA Compilation via Reverse Mapping","D. Liu; Y. Xia; J. Shang; J. Zhong; P. Ouyang; S. Yin","College of Computer Science, Chongqing University, Chongqing, China; College of Computer Science, Chongqing University, Chongqing, China; College of Computer Science, Chongqing University, Chongqing, China; College of Computer Science, Chongqing University, Chongqing, China; Beijing TsingMicro Co. Ltd., Beijing, China; School of Integrated Circuits, Tsinghua University, Beijing, China",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","46","60","Coarse-Grained Reconfigurable Arrays (CGRAs) are a promising architecture to cope with the challenges of increasing demand for high performance and high energy efficiency. However, the actual achieved performance of CGRA is highly dependent on the mappers. Traditional mappers using heuristics or combinatorial optimization can hardly learn from past experience, suffering from poor quality and portability. Recently, machine learning has been introduced to partial components in CGRA compilers, leaving other components to traditional heuristics, which is also prone to a sub-optimum, To this end, this paper proposes an end-to-end learning framework, E2EMap, for CGRA mapping that can cover the full mapping process. To reduce the complexity of the learning model, a reverse mapping problem is formulated, where various routing strategies can be thoroughly explored. To solve the problem, policy gradient reinforcement learning is introduced to learn from scratch. Experimental results demonstrate that E2EMap can achieve up to 2.23 x mapping quality across different CGRA settings while consuming even less compilation time as compared to state-of-the-art works.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00015","National Natural Science Foundation of China(grant numbers:62274019); National Key Research and Development Project of China(grant numbers:2020AAA0104603); Natural Science Foundation of Chongqing, China(grant numbers:STB2022NSCQ-MSX1017); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476475","CGRA;Compilation;Reinforcement Learning","Reinforcement learning;Computer architecture;Routing;Energy efficiency;Complexity theory;Optimization","","6","","65","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"Revet: A Language and Compiler for Dataflow Threads","A. C. Rucker; S. Sundram; C. Smith; M. Vilim; R. Prabhakar; F. Kjølstad; K. Olukotun","Stanford University; Stanford University; Stanford University; SambaNova Systems, Inc.; SambaNova Systems, Inc.; Stanford University; Stanford University",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","1","14","Spatial dataflow architectures such as reconfigurable dataflow accelerators (RDA) can provide much higher performance and efficiency than CPUs and GPUs. In particular, vectorized reconfigurable dataflow accelerators (vRDA) in recent literature represent a design point that enhances the efficiency of dataflow architectures with vectorization. Today, vRDAs can be exploited using either hard-coded kernels or MapReduce languages like Spatial, which cannot vectorize data-dependent control flow. In contrast, CPUs and GPUs can be programmed using general-purpose threaded abstractions. The ideal combination would be the generality of a threaded programming model coupled with the efficient execution model of a vRDA. We introduce Revet: a programming model, compiler, and execution model that lets threaded applications run efficiently on vRDAs. The Revet programming language uses threads to support a broader range of applications than prior parallel-patterns approaches, and our MLIR-based compiler lowers this language to a generic dataflow backend that operates on streaming tensors. Finally, we show that mapping threads to dataflow out-performs GPUs, the current state-of-the-art for threaded accelerators, by 3.8×.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476453","Reconfigurable Architectures;Dataflow;RDA;vRDA;CGRA;Programming Models;Languages;Dataflow Threads","Computer languages;Tensors;Instruction sets;Graphics processing units;Computer architecture;Programming;Parallel processing","","1","","45","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"An Optimizing Framework on MLIR for Efficient FPGA-based Accelerator Generation","W. Zhang; J. Zhao; G. Shen; Q. Chen; C. Chen; M. Guo","Department of Computer Science and Engineering, Shanghai Jiao Tong University; Department of Computer Science and Engineering, Shanghai Jiao Tong University; Department of Computer Science and Engineering, Shanghai Jiao Tong University; Department of Computer Science and Engineering, Shanghai Jiao Tong University; Department of Computer Science and Engineering, Shanghai Jiao Tong University; Department of Computer Science and Engineering, Shanghai Jiao Tong University",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","75","90","With the increasing demand for computing capability given limited resource and power budgets, it is prominent to deploy applications to customized accelerators like FPGAs. However, FPGA programming is non-trivial. Although existing high-level synthesis (HLS) tools improve productivity to a certain extent, they are limited in scope and capability to support sufficient FPGA-oriented transformations and optimizations. This paper focuses on FPGA-based accelerators and proposes POM, an end-to-end optimizing framework built on multi-level intermediate representation (MLIR). POM has several features which demonstrate its scope and capability of performance optimization. First, most HLS tools depend exclusively on a single-level IR like LLVM IR to perform all the optimizations, introducing excessive information into the IR and making debugging an arduous task. In contrast, POM explicitly introduces three layers of IR to perform operations at suitable abstraction levels, streamlining the implementation and debugging process and exhibiting better flexibility, extensibility, and systematicness. Second, POM integrates the polyhedral model into MLIR and hence enables advanced dependence analysis and a wide range of FPGA-oriented loop transformations. By representing nested loops with integer sets and maps at suitable IR, loop transformations can be conducted conveniently through a series of manipulations on polyhedral semantics. Finally, to further relieve design effort, POM is equipped with a user-friendly programming interface (DSL) that allows a concise description of computation and includes a rich collection of scheduling primitives. An automatic design space exploration (DSE) engine is also provided to search for high-performance optimization schemes efficiently and generate optimized accelerators automatically. Experimental results show that POM achieves a 6.46× average speedup on typical benchmark suites and a 6.06 ×average speedup on real-world applications compared to the state-of-the-art.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476481","","Productivity;Processor scheduling;Semantics;Debugging;Programming;Extensibility;Space exploration","","1","","41","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"Celeritas: Out-of-Core Based Unsupervised Graph Neural Network via Cross-Layer Computing","Y. Li; T. -Y. Yang; M. -C. Yang; Z. Shen; B. Li","Department of Computer Science, University of Texas at Dallas; Department of Computer Science and Engineering, The Chinese University of Hong Kong; Department of Computer Science, University of Texas at Dallas; Department of Computer Science, Shandong University; Department of Computer Science, University of Texas at Dallas",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","91","107","Graph neural networks (GNN) one of the most popular neural network models, are extensively applied in graph-related fields, including drug discovery, recommendation systems, etc. Unsupervised graph learning as one type of GNN plays a crucial role in various graph-related missions like node classification and edge prediction. However, with the increasing size of real-world graph datasets, processing such massive graphs in host memory becomes impractical, and GNN training demands a substantial storage volume to accommodate the vast amount of graph data. Consequently, GNN training results in significant I/O migration between the host and storage. Although state-of-the-art frameworks have made strides in mitigating I/O overhead by considering embedding locality, their GNN frameworks still suffer from long training times. In this paper, we propose a fully out-of-core framework, called Celeritas, which speeds up the unsupervised GNN training on a single machine by co-designing the GNN algorithm and storage systems. First, based on the theoretical analysis, we propose a new partial combination operation to enable the embedding updates across GNN layers. This cross-layer computing achieves future computation for the embedding stored in memory to save data migration. Second, due to the dependency between embedding and edges, we consider their data locality together. Based on the cross-layer computing property, we propose a new loading order to fully utilize the data stored in the main memory to save I/O. Finally, a new sampling scheme called two-level sampling is proposed associated with a new partition algorithm to further reduce data migration and computation overhead while maintaining similar training accuracy. The real system experiments indicate that the proposed Celeritas can reduce the total training time of different G NN models from 44.76 % to 73.85 % compared to state-of-art schemes for different graph datasets.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476451","","Training;Cross layer design;Accuracy;Computational modeling;Loading;Memory management;Predictive models;Graph neural networks;Partitioning algorithms;Recommender systems","","2","","70","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"PruneGNN: Algorithm-Architecture Pruning Framework for Graph Neural Network Acceleration","D. Gurevin; M. Shan; S. Huang; M. A. Hasan; C. Ding; O. Khan","University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","108","123","Performing training and inference for Graph Neural Networks (GNNs) under tight latency constraints has become increasingly difficult as real-world input graphs continue to grow. Compared to traditional DNNs, GNNs present unique computational challenges due to their massive, unstructured, and sparse input graphs. Prior works have applied irregular and structured model pruning techniques to reduce the complexity of GNNs to accelerate GNN performance. However, irregular pruning techniques presented in the literature use floating point operations to estimate G NN performance, which does not reveal the true performance implications of model sparsity caused by the diminished parallelism of sparse matrix multiplication kernels. This paper quantitatively shows that irregular sparsity in G NN models is unable to be exploited to improve performance in parallel architectures that employ highly vectorized hardware. While structured pruning can overcome these issues, the existing structured pruning work for GNNs introduces performance scalability challenges as low-dimensional mapping of the pruned model is unable to exploit the full parallelism potential of the GPU's vectorized hardware. We propose PruneGNN, an optimized algorithm-architecture framework for structured GNN pruning. At the algorithm level, a dimension-pruning-aware sparse training method is proposed that achieves high sparsity while maintaining accuracy. At the architecture level, novel SIMD-aware kernels are proposed that exploit matrix-operator-level parallelism and unlock performance gains with reduced-dimension GNN models. The efficacy of the proposed framework is evaluated for end-to-end inference as well as training performance using real-world dynamic and static graphs on representative GNN models. Experimental results using an NVIDIA A100 GPU show that PruneGNN achieves an average of 2 x speedup over the prior structured pruning work for state-of-the-art GNN models.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476445","","Training;Heuristic algorithms;Scalability;Graphics processing units;Artificial neural networks;Parallel processing;Graph neural networks","","11","","57","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"MEGA: A Memory-Efficient GNN Accelerator Exploiting Degree-Aware Mixed-Precision Quantization","Z. Zhu; F. Li; G. Li; Z. Liu; Z. Mo; Q. Hu; X. Liang; J. Cheng","Chinese Academy of Sciences, Institute of Automation; Chinese Academy of Sciences, Institute of Automation; Shanghai Jiao Tong University; Chinese Academy of Sciences, Institute of Automation; Chinese Academy of Sciences, Institute of Automation; Chinese Academy of Sciences, Institute of Automation; Shanghai Jiao Tong University; Chinese Academy of Sciences, Institute of Automation",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","124","138","Graph Neural Networks (GNNs) are becoming a promising technique in various domains due to their excellent capabilities in modeling non-Euclidean data. Although a spectrum of accelerators has been proposed to accelerate the inference of GNNs, our analysis demonstrates that the latency and energy consumption induced by DRAM access still significantly impedes the improvement of performance and energy efficiency. To address this issue, we propose a Memory - Efficient GNN Accelerator (MEGA) through algorithm and hardware co-design in this work. Specifically, at the algorithm level, through an in-depth analysis of the node property, we observe that the data-independent quantization in previous works is not optimal in terms of accuracy and memory efficiency. This motivates us to propose the Degree-Aware mixed-precision quantization method, in which a proper bitwidth is learned and allocated to a node according to its in-degree to compress GNNs as much as possible while maintaining accuracy. At the hardware level, we employ a heterogeneous architecture design in which the aggregation and combination phases are implemented separately with different dataflows. In order to boost the performance and energy efficiency, we also present an Adaptive-Package format to alleviate the storage overhead caused by the fine-grained bitwidth and diverse sparsity, and a Condense-Edge scheduling method to enhance the data locality and further alleviate the access irregularity induced by the extremely sparse adjacency matrix in the graph. We implement our MEGA accelerator in a 28nm technology node. Extensive experiments demonstrate that MEGA can achieve an average speedup of 38.3 ×, 7.1 ×, 4.0 ×, 3.6× and 47.6 ×, 7.2 ×, 5.4 ×, 4.5 × energy savings over four state-of-the-art GNN accelerators, HyGCN, GCNAX, GROW, and SGCN, respectively, while retaining task accuracy.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476431","GNN;Mixed-Precision Quantization;Accelerator","Quantization (signal);Processor scheduling;Memory management;Random access memory;Hardware;Energy efficiency;Inference algorithms","","15","","65","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"Bandwidth-Effective DRAM Cache for GPU s with Storage-Class Memory","J. Hong; S. Cho; G. Park; W. Yang; Y. -H. Gong; G. Kim","Department of Computer Science and Engineering, POSTECH; Department of Computer Science and Engineering, POSTECH; Department of Computer Science and Engineering, POSTECH; Department of Computer Science and Engineering, POSTECH; Soongsil University, School of Software; Department of Computer Science and Engineering, POSTECH",2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),"2 Apr 2024","2024","","","139","155","We propose overcoming the memory capacity limitation of GPUs with high-capacity Storage-Class Memory (SCM) and DRAM cache. By significantly increasing the memory capacity with SCM, the GPU can capture a larger fraction of the memory footprint than HBM for workloads that mandate memory oversubscription, resulting in substantial speedups. However, the DRAM cache needs to be carefully designed to address the latency and bandwidth limitations of the SCM while minimizing cost overhead and considering GPU's characteristics. Because the massive number of GPU threads can easily thrash the DRAM cache and degrade performance, we first propose an SCM-aware DRAM cache bypass policy for GPUs that considers the multi-dimensional characteristics of memory accesses by G PU s with SCM to bypass DRAM for data with low performance utility. In addition, to reduce DRAM cache probe traffic and increase effective DRAM BW with minimal cost overhead, we propose a Configurable Tag Cache (CTC) that repurposes part of the L2 cache to cache DRAM cacheline tags. The L2 capacity used for the CTC can be adjusted by users for adaptability. Furthermore, to minimize DRAM cache probe traffic from CTC misses, our Aggregated Metadata-In-Last-column (AMIL) DRAM cache organization co-locates all DRAM cacheline tags in a single column within a row. The AMIL also retains the full ECC protection, unlike prior DRAM cache implementation with Tag-And-Data (TAD) organization. Additionally, we propose SCM throttling to curtail power consumption and exploiting SCM's SLC/MLC modes to adapt to workload's memory footprint. While our techniques can be used for different DRAM and SCM devices, we focus on a Heterogeneous Memory Stack (HMS) organization that stacks SCM dies on top of DRAM dies for high performance. Compared to HBM, the HMS improves performance by up to 12.5× (2.9× overall) and reduces energy by up to 89.3% (48.1 % overall). Compared to prior works, we reduce DRAM cache probe and SCM write traffic by 91–93 % and 57–75 %, respectively.","2378-203X","979-8-3503-9313-2","10.1109/HPCA57654.2024.00021","National Research Foundation of Korea (NRF)(grant numbers:RS-2023-00277080,RS-2023-00212711); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476449","Graphics processing unit (GPU);Storage-Class Memory (SCM);DRAM cache;3D-stacked memory;Cache bypassing","Performance evaluation;Costs;Power demand;Instruction sets;Memory management;Random access memory;Graphics processing units","","10","","156","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
