"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Memristive Boltzmann machine: A hardware accelerator for combinatorial optimization and deep learning","M. N. Bojnordi; E. Ipek","University of Rochester, Rochester, NY, USA; University of Rochester, Rochester, NY, US",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","1","13","The Boltzmann machine is a massively parallel computational model capable of solving a broad class of combinatorial optimization problems. In recent years, it has been successfully applied to training deep machine learning models on massive datasets. High performance implementations of the Boltzmann machine using GPUs, MPI-based HPC clusters, and FPGAs have been proposed in the literature. Regrettably, the required all-to-all communication among the processing units limits the performance of these efforts. This paper examines a new class of hardware accelerators for large-scale combinatorial optimization and deep learning based on memristive Boltzmann machines. A massively parallel, memory-centric hardware accelerator is proposed based on recently developed resistive RAM (RRAM) technology. The proposed accelerator exploits the electrical properties of RRAm to realize in situ, fine-grained parallel computation within memory arrays, thereby eliminating the need for exchanging data between the memory cells and the computational units. Two classical optimization problems, graph partitioning and boolean satisfiability, and a deep belief network application are mapped onto the proposed hardware. As compared to a multicore system, the proposed accelerator achieves 57x higher performance and 25x lower energy with virtually no loss in the quality of the solution to the optimization problems. The memristive accelerator is also compared against an RRAM based processing-in-memory (PIM) system, with respective performance and energy improvements of 6.89x and 5.2x.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446049","","Hardware;Machine learning;Computational modeling;Arrays;Simulated annealing;Training","","154","5","28","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"TABLA: A unified template-based framework for accelerating statistical machine learning","D. Mahajan; J. Park; E. Amaro; H. Sharma; A. Yazdanbakhsh; J. K. Kim; H. Esmaeilzadeh","Georgia Institute of Technology, Atlanta, GA, US; Alternative Computing Technologies (ACT) Lab, Georgia Institute of Technology; Alternative Computing Technologies (ACT) Lab, Georgia Institute of Technology; Alternative Computing Technologies (ACT) Lab, Georgia Institute of Technology; Alternative Computing Technologies (ACT) Lab, Georgia Institute of Technology; Alternative Computing Technologies (ACT) Lab, Georgia Institute of Technology; Alternative Computing Technologies (ACT) Lab, Georgia Institute of Technology",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","14","26","A growing number of commercial and enterprise systems increasingly rely on compute-intensive Machine Learning (ML) algorithms. While the demand for these compute-intensive applications is growing, the performance benefits from general-purpose platforms are diminishing. Field Programmable Gate Arrays (FPGAs) provide a promising path forward to accommodate the needs of machine learning algorithms and represent an intermediate point between the efficiency of ASICs and the programmability of general-purpose processors. However, acceleration with FPGAs still requires long development cycles and extensive expertise in hardware design. To tackle this challenge, instead of designing an accelerator for a machine learning algorithm, we present TABLA, a framework that generates accelerators for a class of machine learning algorithms. The key is to identify the commonalities across a wide range of machine learning algorithms and utilize this commonality to provide a high-level abstraction for programmers. TABLA leverages the insight that many learning algorithms can be expressed as a stochastic optimization problem. Therefore, learning becomes solving an optimization problem using stochastic gradient descent that minimizes an objective function over the training data. The gradient descent solver is fixed while the objective function changes for different learning algorithms. TABLA provides a template-based framework to accelerate this class of learning algorithms. Therefore, a developer can specify the learning task by only expressing the gradient of the objective function using our high-level language. Tabla then automatically generates the synthesizable implementation of the accelerator for FPGA realization using a set of hand-optimized templates. We use Tabla to generate accelerators for ten different learning tasks targeted at a Xilinx Zynq FPGA platform. We rigorously compare the benefits of FPGA acceleration to multi-core CPUs (ARM Cortex A15 and Xeon E3) and many-core GPUs (Tegra K1, GTX 650 Ti, and Tesla K40) using real hardware measurements. TABLA-generated accelerators provide 19.4x and 2.9x average speedup over the ARM and Xeon processors, respectively. These accelerators provide 17.57x, 20.2x, and 33.4x higher Performance-per-Watt in comparison to Tegra, GTX 650 Ti and Tesla, respectively. These benefits are achieved while the programmers write less than 50 lines of code.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446050","","Machine learning algorithms;Field programmable gate arrays;Linear programming;Stochastic processes;Algorithm design and analysis;Hardware;Data models","","125","","58","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"Pushing the limits of accelerator efficiency while retaining programmability","T. Nowatzki; V. Gangadhan; K. Sankaralingam; G. Wright",University of Wisconsin-Madison; University of Wisconsin-Madison; University of Wisconsin-Madison; Qualcomm,2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","27","39","The waning benefits of device scaling have caused a push towards domain specific accelerators (DSAs), which sacrifice programmability for efficiency. While providing huge benefits, DSAs are prone to obsoletion due to domain volatility, have recurring design and verification costs, and have large area footprints when multiple DSAs are required in a single device. Because of the benefits of generality, this work explores how far a programmable architecture can be pushed, and whether it can come close to the performance, energy, and area efficiency of a DSA-based approach. Our insight is that DSAs employ common specialization principles for concurrency, computation, communication, data-reuse and coordination, and that these same principles can be exploited in a programmable architecture using a composition of known microarchitectural mechanisms. Specifically, we propose and study an architecture called LSSD, which is composed of many low-power and tiny cores, each having a configurable spatial architecture, scratchpads, and DMA. Our results show that a programmable, specialized architecture can indeed be competitive with a domain-specific approach. Compared to four prominent and diverse DSAs, LSSD can match the DSAs' 10× to 150× speedup over an OOO core, with only up to 4x more area and power than a single DSA, while retaining programmability.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446051","","Hardware;Concurrent computing;Engines;Algorithm design and analysis;Multicore processing;Out of order","","40","1","47","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"A low power software-defined-radio baseband processor for the Internet of Things","Y. Chen; S. Lu; H. -S. Kim; D. Blaauw; R. G. Dreslinski; T. Mudge","University of Michigan, Ann Arbor; University of Michigan, Ann Arbor; University of Michigan, Ann Arbor; University of Michigan, Ann Arbor; University of Michigan, Ann Arbor; University of Michigan, Ann Arbor",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","40","51","In this paper, we define a configurable Software Defined Radio (SDR) baseband processor design for the Internet of Things (IoT). We analyzed the fundamental algorithms in communications systems on IoT devices to enable a microarchitecture design that supports many IoT standards and custom nonstandard communications. Based on this analysis, we propose a custom SIMD execution model coupled with a scalar unit. We introduce several architectural optimizations to this design: streaming registers, variable bit width datapath, dedicated ALUs for critical kernels, and an optimized flexible reduction network. We employ voltage scaling and clock gating to further reduce the power, while more than a 100% time margin has been reserved for reliable operation in the near-threshold region. Together our architectural enhancements lead to a 71× power reduction compared to a classic general purpose SDR SIMD architecture. Our IoT SDR datapath has sub-mW power consumption based on SPICE simulation, and is placed and routed to fit within an area of 0.074mm2 in a 28nm process. We implemented several essential elementary signal processing kernels and combined them to demonstrate two end-to-end upper bound systems, 802.15.4-OQPSK and Bluetooth Low Energy. Our full SDR baseband system consists of a configurable SIMD with a control plane MCU and memory. For comparison, the best commercial wireless transceiver consumes 23.8mW for the entire wireless system (digital/RF/ analog). We show that our digital system power is below 2mW, in other words only 8% of the total system power. The wireless system is dominated by RF/analog power comsumption, thus the price of flexibility that SDR affords is small. We believe this work is unique in demonstrating the value of baseband SDR in the low power IoT domain.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446052","","Standards;Kernel;Finite impulse response filters;Baseband;Wireless communication;Wireless sensor networks;Synchronization","","30","","38","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"Improving smartphone user experience by balancing performance and energy with probabilistic QoS guarantee","B. Gaudette; C. -J. Wu; S. Vrudhula","School of Computing Informatics, & Decision Systems Engineering Arizona State University, Tempe, AZ; School of Computing Informatics, & Decision Systems Engineering Arizona State University, Tempe, AZ; School of Computing Informatics, & Decision Systems Engineering Arizona State University, Tempe, AZ",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","52","63","User satisfaction is pivotal to the success of a mobile application. A recent study has shown that 49% of users would abandon a web-based application if it failed to load within 10 seconds. At the same time, it is imperative to maximize energy efficiency to ensure maximum usage of the limited energy source available to smartphones while maintaining the necessary levels of user satisfaction. An important factor to consider, that has been previously neglected, is variability of execution times of an application, requiring them to be modeled as stochastic quantities. This changes the nature of the objective function and the constraints of the underlying optimization problem. In this paper, we present a new approach to optimal energy control of mobile applications running on modern smartphone devices, focusing on the need to ensure a specified level of user satisfaction. The proposed statistical models address both single and multi-stage applications and are used in the formulation of an optimization problem, the solution to which is a static, lightweight controller that optimizes energy efficiency of mobile applications, subject to constraints on the likelihood that the application execution time meets a given deadline. We demonstrate the proposed models and the corresponding optimization method on three common mobile applications running on a real Qualcomm Snapdragon 8074 mobile chipset. The results show that the proposed statistical estimates of application execution times are within 99.34% of the measured values. Additionally, on the actual Qualcomm Snapdragon 8074 mobile chipset, the proposed control scheme achieves a 29% power savings over commonly-used Linux governors while maintaining an average web page load time of 2 seconds with a likelihood of 90%.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446053","","Quality of service;Frequency control;Time-frequency analysis;Mobile communication;Optimization;Complexity theory;Mobile applications","","34","","53","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"Mobile CPU's rise to power: Quantifying the impact of generational mobile CPU design trends on performance, energy, and user satisfaction","M. Halpern; Y. Zhu; V. J. Reddi","University of Texas at Austin, Austin, TX, US; Department of Electrical and Computer Engineering, The University of Texas at Austin; Department of Electrical and Computer Engineering, The University of Texas at Austin",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","64","76","In this paper, we assess the past, present, and future of mobile CPU design. We study how mobile CPU designs trends have impacted the end-user, hardware design, and the holistic mobile device. We analyze the evolution often cutting-edge mobile CPU designs released over the past seven years. Specifically, we report measured performance, power, energy and user satisfaction trends across mobile CPU generations. A key contribution of our work is that we contextualize the mobile CPU's evolution in terms of user satisfaction, which has largely been absent from prior mobile hardware studies. To bridge the gap between mobile CPU design and user satisfaction, we construct and conduct a novel crowdsourcing study that spans over 25,000 survey participants using the Amazon Mechanical Turk service. Our methodology allows us to identify what mobile CPU design techniques provide the most benefit to the end-user's quality of user experience. Our results quantitatively demonstrate that CPUs play a crucial role in modern mobile system-on-chips (SoCs). Over the last seven years, both single-and multicore performance improvements have contributed to end-user satisfaction by reducing user-critical application response latencies. Mobile CPUs aggressively adopted many power-hungry desktop-oriented design techniques to reach these performance levels. Unlike other smartphone components (e.g. display and radio) whose peak power consumption has decreased over time, the mobile CPU's peak power consumption has steadily increased. As the limits of technology scaling restrict the ability of desktop-like scaling to continue for mobile CPUs, specialized accelerators appear to be a promising alternative that can help sustain the power, performance, and energy improvements that mobile computing necessitates. Such a paradigm shift will redefine the role of the CPU within future SoCs, which merit several design considerations based on our findings.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446054","","Mobile communication;Market research;Multicore processing;Hardware;Benchmark testing;Power demand;Technological innovation","","108","","60","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"Atomic persistence for SCM with a non-intrusive backend controller","K. Doshi; E. Giles; P. Varman","Intel Corp., Portland, Oregon; Rice University, Houston, Texas; Rice University, Houston, Texas",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","77","89","Non-volatile byte-addressable memory has the potential to revolutionize system architecture by providing instruction-grained direct access to vast amounts of persistent data. We describe a non-intrusive memory controller that uses backend operations for achieving lightweight failure atomicity. By moving synchronous persistent memory operations to the background, the performance overheads are minimized. Our solution avoids costly software intervention by decoupling isolation and concurrency-driven atomicity from failure atomicity and durability, and does not require changes to the front-end cache hierarchy. Two implementation alternatives - one using a hardware structure, and the other extending the memory controller with a firmware managed volatile space - are described. Our results show the performance is significantly better than traditional approaches.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446055","","Random access memory;Nonvolatile memory;Software;Hardware;Computer crashes;Retirement;Libraries","","53","","28","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"CompEx: Compression-expansion coding for energy, latency, and lifetime improvements in MLC/TLC NVM","P. M. Palangappa; K. Mohanram","Department of Electrical and Computer Engineering, University of Pittsburgh, PA; Department of Electrical and Computer Engineering, University of Pittsburgh, PA",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","90","101","Multi-level/triple-level cell non-volatile memories (MLC/TLC NVMs) such as PCM and RRAM are the subject of active research and development as replacement candidates for DRAM, which is limited by its high refresh power and poor scaling potential. Besides the benefits of non-volatility (low refresh power) and improved scalability, MLC/TLC NVMs offer high data density and memory capacity over DRAM. However, the viability of MLC/TLC NVMs is limited primarily due to the high programming energy and latency as well as the low endurance of NVM cells; these are primarily attributable to the iterative program-and-verify procedure necessary for programming the NVM cells. In this paper, we propose compression-expansion (CompEx) coding, a low overhead scheme that synergistically integrates statistical compression with expansion coding to realize simultaneous energy, latency, and lifetime improvements in MLC/TLC NVMs. CompEx coding is agnostic to the choice of compression technique; in this paper, we evaluate CompEx coding using both frequent pattern compression (FPC) and base-delta-immediate (BΔI) compression. CompEx coding integrates FPC/BΔI with (k, m)q `expansion' coding; expansion codes are a class of q-ary linear block codes that encode data using only the low energy states of a q-ary NVM cell. CompEx coding simultaneously reduces energy and latency and improves lifetime for no memory overhead and negligible logic overhead (≈ 10k gates, which is <; 0.1% per NVM module). Our full-system simulations of a system that integrates TLC RRAM show that CompEx coding reduces total memory energy by 53% and write latency by 24%; these improvements translate to a 5.7% improvement in IPC, a 11.8% improvement in main memory bandwidth, and 1.8× improvement in lifetime over classical binary coding using data-comparison write. CompEx coding thus addresses the programming energy/latency and lifetime challenges of MLC/-TLC NVMs that pose a serious technological roadblock to their adoption in high performance computing systems.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446056","","Nonvolatile memory;Encoding;Resistance;Programming;Codecs;Random access memory;Benchmark testing","","38","","68","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"A low-power hybrid reconfigurable architecture for resistive random-access memories","M. A. Lastras-Montaño; A. Ghofrani; K. -T. Cheng","Electrical and Computer Engineering Department, University of California, Santa Barbara; Electrical and Computer Engineering Department, University of California, Santa Barbara; Electrical and Computer Engineering Department, University of California, Santa Barbara",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","102","113","Access-transistor-free memristive crossbars have shown to be excellent candidates for next generation non-volatile memories. While the elimination of the transistor per memory element enables higher memory densities, it also introduces parasitic currents during the normal operation of the memory that increases both the overall power consumption of the crossbar, and the current requirements of the line drivers. In this work we present a hybrid reconfigurable memory architecture that takes advantage of the fact that a complementary resistive switch (CRS) can behave both as a memristor and as a CRS. By dynamically keeping frequently accessed regions of the memory in the memristive mode and others in the CRS mode, our hybrid memory offer all the benefits that a memristor and a CRS offer individually, without any of their drawbacks. We validate our architecture using the SPEC CPU2006 benchmark and found that our hybrid memory offers average energy savings of 3.6x with respect to a memristive-only memory. In addition, we can offer a memory lifetime that is, on average, 6.4x longer than that of a CRS-only memory.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446057","","Memristors;Resistance;Memory management;Transistors;Microprocessors;Energy consumption","","12","","34","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
"A performance analysis framework for optimizing OpenCL applications on FPGAs","Z. Wang; B. He; W. Zhang; S. Jiang","Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; HKUST; Cornell University, Nanyang Technological University, Singapore",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA),"4 Apr 2016","2016","","","114","125","Recently, FPGA vendors such as Altera and Xilinx have released OpenCL SDK for programming FPGAs. However, the architecture of FPGA is significantly different from that of CPU/GPU, for which OpenCL is originally designed. Tuning the OpenCL code for good performance on FPGAs is still an open problem, since the existing OpenCL tools and models designed for CPUs/GPUs are not directly applicable to FPGAs. In the paper, we present an FPGA-based performance analysis framework that can shed light on the performance bottleneck and thus guide the code tuning for OpenCL applications on FPGAs. Particularly, we leverage static and dynamic analysis to develop an analytical performance model, which has captured the key architectural features of FPGA abstractions under OpenCL. Then, we provide four programmer-interpretable metrics to quantify the performance potentials of the OpenCL program with input optimization combination for the next optimization step. We evaluate our framework with a number of user cases, and demonstrate that 1) our analytical performance model can accurately predict the performance of OpenCL programs with different optimization combinations on FPGAs, and 2) our tool can be used to effectively guide the code tuning on alleviating the performance bottleneck.","2378-203X","978-1-4673-9211-2","10.1109/HPCA.2016.7446058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446058","","Field programmable gate arrays;Optimization;Kernel;Pipelines;Analytical models;Performance analysis;Measurement","","66","","33","IEEE","4 Apr 2016","","","IEEE","IEEE Conferences"
