"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Towards Pervasive and User Satisfactory CNN across GPU Microarchitectures","M. Song; Y. Hu; H. Chen; T. Li","Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA",2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","1","12","Accelerating Convolutional Neural Networks (CNNs) on GPUs usually involves two stages: training and inference. Traditionally, this two-stage process is deployed on high-end GPU-equipped servers. Driven by the increase in compute power of desktop and mobile GPUs, there is growing interest in performing inference on various kinds of platforms. In contrast to the requirements of high throughput and accuracy during the training stage, end-users will face diverse requirements related to inference tasks. To address this emerging trend and new requirements, we propose Pervasive CNN (P-CNN), a user satisfaction-aware CNN inference framework. P-CNN is composed of two phases: cross-platform offline compilation and run-time management. Based on users' requirements, offline compilation generates the optimal kernel using architecture-independent techniques, such as adaptive batch size selection and coordinated fine-tuning. The runtime management phase consists of accuracy tuning, execution, and calibration. First, accuracy tuning dynamically identifies the fastest kernels with acceptable accuracy. Next, the run-time kernel scheduler partitions the optimal computing resource for each layer and schedules the GPU thread blocks. If its accuracy is not acceptable to the end-user, the calibration stage selects a slower but more precise kernel to improve the accuracy. Finally, we design a user satisfaction metric for CNNs to evaluate our Pervasive deign. Our evaluation results show P-CNN can provide the best user satisfaction for different inference tasks.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.52","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920809","","Feature extraction;Frequency modulation;Real-time systems;Computer architecture;Convolution;Support vector machines;Entropy","","53","","38","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Near-Optimal Access Partitioning for Memory Hierarchies with Multiple Heterogeneous Bandwidth Sources","J. Gaur; M. Chaudhuri; P. Ramachandran; S. Subramoney","Microarchitecture Research Lab, Intel Corporation; Department of Computer Science and Engineering, Indian Institute of Technology Kanpur; MulticoreWare Incorporated; Microarchitecture Research Lab, Intel Corporation",2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","13","24","The memory wall continues to be a major performance bottleneck. While small on-die caches have been effective so far in hiding this bottleneck, the ever-increasing footprint of modern applications renders such caches ineffective. Recent advances in memory technologies like embedded DRAM (eDRAM) and High Bandwidth Memory (HBM) have enabled the integration of large memories on the CPU package as an additional source of bandwidth other than the DDR main memory. Because of limited capacity, these memories are typically implemented as a memory-side cache. Driven by traditional wisdom, many of the optimizations that target improving system performance have been tried to maximize the hit rate of the memory-side cache. A higher hit rate enables better utilization of the cache, and is therefore believed to result in higher performance. In this paper, we challenge this traditional wisdom and present DAP, a Dynamic Access Partitioning algorithm that sacrifices cache hit rates to exploit under-utilized bandwidth available at main memory. DAP achieves a near-optimal bandwidth partitioning between the memory-side cache and main memory by using a light-weight learning mechanism that needs just sixteen bytes of additional hardware. Simulation results show a 13% average performance gain when DAP is implemented on top of a die-stacked memory-side DRAM cache. We also show that DAP delivers large performance benefits across different implementations, bandwidth points, and capacity points of the memory-side cache, making it a valuable addition to any current or future systems based on multiple heterogeneous bandwidth sources beyond the on-chip SRAM cache hierarchy.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920810","DRAM cache;memory system bandwidth;access partitioning","Bandwidth;Random access memory;Metals;Memory architecture;Optimization;Metadata;Benchmark testing","","7","","52","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"NCAP: Network-Driven, Packet Context-Aware Power Management for Client-Server Architecture","M. Alian; A. H. M. O. Abulila; L. Jindal; D. Kim; N. S. Kim","University of Illinois, Urbana-Champaign; University of Illinois, Urbana-Champaign; University of Wisconsin, Madison; DGIST; University of Illinois, Urbana-Champaign",2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","25","36","The rate of network packets encapsulating requests from clients can significantly affect the utilization, and thus performance and sleep states of processors in servers deploying a power management policy. To improve energy efficiency, servers may adopt an aggressive power management policy that frequently transitions a processor to a low-performance or sleep state at a low utilization. However, such servers may not respond to a sudden increase in the rate of requests from clients early enough due to a considerable performance penalty of transitioning a processor from a sleep or low-performance state to a high-performance state. This in turn entails violations of a service level agreement (SLA), discourages server operators from deploying an aggressive power management policy, and thus wastes energy during low-utilization periods. For both fast response time and high energy-efficiency, we propose NCAP, Network-driven, packet Context-Aware Power management for client-server architecture. NCAP enhances a network interface card (NIC) and its driver such that it can examine received and transmitted network packets, determine the rate of network packets containing latency-critical requests, and proactively transition a processor to an appropriate performance or sleep state. To demonstrate the efficacy, we evaluate on-line data-intensive (OLDI) applications and show that a server deploying NCAP consumes 37~61% lower processor energy than a baseline server while satisfying a given SLA at various load levels.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.57","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920811","server;on-line data-intensive applications;power management","Program processors;Servers;Time factors;Kernel;Computer architecture;Linux;Energy efficiency","","16","","38","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Supporting Address Translation for Accelerator-Centric Architectures","Y. Hao; Z. Fang; G. Reinman; J. Cong","University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles",2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","37","48","While emerging accelerator-centric architectures offer orders-of-magnitude performance and energy improvements, use cases and adoption can be limited by their rigid programming model. A unified virtual address space between the host CPU cores and customized accelerators can largely improve the programmability, which necessitates hardware support for address translation. However, supporting address translation for customized accelerators with low overhead is nontrivial. Prior studies either assume an infinite-sized TLB and zero page walk latency, or rely on a slow IOMMU for correctness and safety- which penalizes the overall system performance. To provide efficient address translation support for accelerator-centric architectures, we examine the memory access behavior of customized accelerators to drive the TLB augmentation and MMU designs. First, to support bulk transfers of consecutive data between the scratchpad memory of customized accelerators and the memory system, we present a relatively small private TLB design to provide low-latency caching of translations to each accelerator. Second, to compensate for the effects of the widely used data tiling techniques, we design a shared level-two TLB to serve private TLB misses on common virtual pages, eliminating duplicate page walks from accelerators working on neighboring data tiles that are mapped to the same physical page. This two-level TLB design effectively reduces page walks by 75.8% on average. Finally, instead of implementing a dedicated MMU which introduces additional hardware complexity, we propose simply leveraging the host per-core MMU for efficient page walk handling. This mechanism is based on our insight that the existing MMU cache in the CPU MMU satisfies the demand of customized accelerators with minimal overhead. Our evaluation demonstrates that the combined approach incurs only a 6.4% performance overhead compared to the ideal address translation.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920812","","Acceleration;Arrays;Performance evaluation;Hardware;Pipeline processing","","40","7","56","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Vulnerabilities in MLC NAND Flash Memory Programming: Experimental Analysis, Exploits, and Mitigation Techniques","Y. Cai; S. Ghose; Y. Luo; K. Mai; O. Mutlu; E. F. Haratsch",NA; Carnegie Mellon University; Carnegie Mellon University; ETH Zurich; Seagate Technology; Carnegie Mellon University,2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","49","60","Modern NAND flash memory chips provide high density by storing two bits of data in each flash cell, called a multi-level cell (MLC). An MLC partitions the threshold voltage range of a flash cell into four voltage states. When a flash cell is programmed, a high voltage is applied to the cell. Due to parasitic capacitance coupling between flash cells that are physically close to each other, flash cell programming can lead to cell-to-cell program interference, which introduces errors into neighboring flash cells. In order to reduce the impact of cell-to-cell interference on the reliability of MLC NAND flash memory, flash manufacturers adopt a two-step programming method, which programs the MLC in two separate steps. First, the flash memory partially programs the least significant bit of the MLC to some intermediate threshold voltage. Second, it programs the most significant bit to bring the MLC up to its full voltage state. In this paper, we demonstrate that two-step programming exposes new reliability and security vulnerabilities. We experimentally characterize the effects of two-step programming using contemporary 1X-nm (i.e., 15–19nm) flash memory chips. We find that a partially-programmed flash cell (i.e., a cell where the second programming step has not yet been performed) is much more vulnerable to cell-to-cell interference and read disturb than a fully-programmed cell. We show that it is possible to exploit these vulnerabilities on solid-state drives (SSDs) to alter the partially-programmed data, causing (potentially malicious) data corruption. Building on our experimental observations, we propose several new mechanisms for MLC NAND flash memory that eliminate or mitigate data corruption in partially-programmed cells, thereby removing or reducing the extent of the vulnerabilities, and at the same time increasing flash memory lifetime by 16%.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.61","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920813","","Programming;Threshold voltage;Flash memories;Computer architecture;Microprocessors;Interference;Transistors","","81","1","47","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Defect Analysis and Cost-Effective Resilience Architecture for Future DRAM Devices","S. Cha; O. Seongil; H. Shin; S. Hwang; K. Park; S. J. Jang; J. S. Choi; G. Y. Jin; Y. H. Son; H. Cho; J. H. Ahn; N. S. Kim",Samsung Electronics; NA; Samsung Electronics; Samsung Electronics; Samsung Electronics; Samsung Electronics; Samsung Electronics; Samsung Electronics; Samsung Electronics; Samsung Electronics; Seoul National University; Seoul National University,2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","61","72","Technology scaling has continuously improved the density, performance, energy efficiency, and cost of DRAM-based main memory systems. Starting from sub-20nm processes, however, the industry began to pay considerably higher costs to screen and manage notably increasing defective cells. The traditional technique, which replaces the rows/columns containing faulty cells with spare rows/columns, has been able to cost-effectively repair the defective cells so far, but it will become unaffordable soon because an excessive number of spare rows/columns are required to manage the increasing number of defective cells. This necessitates a synergistic application of an alternative resilience technique such as In-DRAM ECC with the traditional one. Through extensive measurement and simulation, we first identify that aggressive miniaturization makes DRAM cells more sensitive to random telegraph noise or variable retention time, which is dominantly manifested as a surge in randomly scattered single-cell faults. Second, we advocate using InDRAM ECC to overcome the DRAM scaling challenges and architect In-DRAM ECC to accomplish high area efficiency and minimal performance degradation. Moreover, we show that advancement in process technology reduces decoding/correction time to a small fraction of DRAM access time, and that the throughput penalty of a write operation due to an additional read for a parity update is mostly overcome by the multi-bank structure and long burst writes that span an entire In-DRAM ECC codeword. Lastly, we demonstrate that system reliability with modern rank-level ECC schemes such as single device data correction is further improved by hundred million times with the proposed In-DRAM ECC architecture.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920814","DRAM;resilience;In-DRAM ECC;single-cell faults;long-burst writes","Random access memory;Circuit faults;Error correction codes;Capacitors;Capacitance;Performance evaluation;Transistors","","57","2","57","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Architecting an Energy-Efficient DRAM System for GPUs","N. Chatterjee; M. O’Connor; D. Lee; D. R. Johnson; S. W. Keckler; M. Rhu; W. J. Dally",NVIDIA; The University of Texas at Austin; NVIDIA; NVIDIA; NVIDIA; NVIDIA; NVIDIA,2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","73","84","This paper proposes an energy-efficient, high-throughput DRAM architecture for GPUs and throughput processors. In these systems, requests from thousands of concurrent threads compete for a limited number of DRAM row buffers. As a result, only a fraction of the data fetched into a row buffer is used, leading to significant energy overheads. Our proposed DRAM architecture exploits the hierarchical organization of a DRAM bank to reduce the minimum row activation granularity. To avoid significant incremental area with this approach, we must partition the DRAM datapath into a number of semi-independent subchannels. These narrow subchannels increase data toggling energy which we mitigate using a static data reordering scheme designed to lower the toggle rate. This design has 35% lower energy consumption than a die-stacked DRAM with 2.6% area overhead. The resulting architecture, when augmented with an improved memory access protocol, can support parallel operations across the semi-independent subchannels, thereby improving system performance by 13% on average for a range of workloads.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.58","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920815","","Random access memory;Bandwidth;Computer architecture;Graphics processing units;Graphics;Throughput","","69","1","52","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Design and Analysis of an APU for Exascale Computing","T. Vijayaraghavan; Y. Eckert; G. H. Loh; M. J. Schulte; M. Ignatowski; B. M. Beckmann; W. C. Brantley; J. L. Greathouse; W. Huang; A. Karunanithi; O. Kayiran; M. Meswani; I. Paul; M. Poremba; S. Raasch; S. K. Reinhardt; G. Sadowski; V. Sridharan","Department of Electrical and Computer Engineering, University of Wisconsin-Madison; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.; AMD Research, Advanced Micro Devices, Inc.",2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","85","96","The challenges to push computing to exaflop levels are difficult given desired targets for memory capacity, memory bandwidth, power efficiency, reliability, and cost. This paper presents a vision for an architecture that can be used to construct exascale systems. We describe a conceptual Exascale Node Architecture (ENA), which is the computational building block for an exascale supercomputer. The ENA consists of an Exascale Heterogeneous Processor (EHP) coupled with an advanced memory system. The EHP provides a high-performance accelerated processing unit (CPU+GPU), in-package high-bandwidth 3D memory, and aggressive use of die-stacking and chiplet technologies to meet the requirements for exascale computing in a balanced manner. We present initial experimental analysis to demonstrate the promise of our approach, and we discuss remaining open research challenges for the community.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920816","","Graphics processing units;Computer architecture;Three-dimensional displays;Central Processing Unit;Bandwidth;Architecture;Supercomputers","","51","","50","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"BRAVO: Balanced Reliability-Aware Voltage Optimization","K. Swaminathan; N. Chandramoorthy; C. -Y. Cher; R. Bertran; A. Buyuktosunoglu; P. Bose","IBM T. J. Watson Research Center, NY; IBM T. J. Watson Research Center, NY; IBM T. J. Watson Research Center, NY; IBM T. J. Watson Research Center, NY; IBM Thomas J Watson Research Center, Yorktown Heights, NY, US; IBM T. J. Watson Research Center, NY",2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","97","108","Defining a processor micro-architecture for a targeted productspace involves multi-dimensional optimization across performance, power and reliability axes. A key decision in sucha definition process is the circuit-and technology-driven parameterof the nominal (voltage, frequency) operating point. This is a challenging task, since optimizing individually orpair-wise amongst these metrics usually results in a designthat falls short of the specification in at least one of the threedimensions. Aided by academic research, industry has nowadopted early-stage definition methodologies that considerboth energy-and performance-related metrics. Reliabilityrelatedenhancements, on the other hand, tend to get factoredin via a separate thread of activity. This task is typically pursuedwithout thorough pre-silicon quantifications of the energyor even the performance cost. In the late-CMOS designera, reliability needs to move from a post-silicon afterthoughtor validation-only effort to a pre-silicon definitionprocess. In this paper, we present BRAVO, a methodologyfor such reliability-aware design space exploration. BRAVOis supported by a multi-core simulation framework that integratesperformance, power and reliability modeling capability. Errors induced by both soft and hard fault incidence arecaptured within the reliability models. We introduce the notionof the Balanced Reliability Metric (BRM), that we useto evaluate overall reliability of the processor across soft andhard error incidences. We demonstrate up to 79% improvementin reliability in terms of this metric, for only a 6% dropin overall energy efficiency over design points that maximizeenergy efficiency. We also demonstrate several real-life usecaseapplications of BRAVO in an industrial setting.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920817","Processor reliability;soft errors;hard errors;optimal voltage","Measurement;Reliability engineering;Power system reliability;Integrated circuit reliability;Industries;Threshold voltage","","24","","57","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Maximizing Cache Performance Under Uncertainty","N. Beckmann; D. Sanchez","Carnegie Mellon University, MIT; Massachusetts Institute of Technology",2017 IEEE International Symposium on High Performance Computer Architecture (HPCA),"8 May 2017","2017","","","109","120","Much prior work has studied cache replacement, but a large gap remains between theory and practice. The design of many practical policies is guided by the optimal policy, Belady's MIN. However, MIN assumes perfect knowledge of the future that is unavailable in practice, and the obvious generalizations of MIN are suboptimal with imperfect information. What, then, is the right metric for practical cache replacement? We propose that practical policies should replace lines based on their economic value added (EVA), the difference of their expected hits from the average. Drawing on the theory of Markov decision processes, we discuss why this metric maximizes the cache's hit rate. We present an inexpensive implementation of EVA and evaluate it exhaustively. EVA outperforms several prior policies and saves area at iso-performance. These results show that formalizing cache replacement yields practical benefits.","2378-203X","978-1-5090-4985-1","10.1109/HPCA.2017.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920818","cache replacement;cache modeling;Markov decision processes","Uncertainty;Analytical models;Marine vehicles;Measurement;Markov processes;Electronics packaging;Economics","","42","","40","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
